"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4830","row object should contain correct keys","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","18152","Validate the header checkbox","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","3903","table should contain all expected headers","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","10622","validate the consumer table records with api","api-tests","2026-03-06","failed","2026-03-06","","UI\tests\api-tests\consumerapi.spec.ts","",""
"","3943","validate table headers","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","5166","Validate the Next Button and Previous Button Whether the Pagination works or not in the Table Records","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","3867","Validate the rowdata","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","6816","validate the Total Records of the Tabale","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","4752","Select valid report range from JSON","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","4022","Validate the Single Row Data","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","3859","table should have rows","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
"","3957","Validate Number of Columns in the table.","ui-tests","2026-03-06","passed","2026-03-06","","UI\tests\ui-tests\consumer.spec.ts","",""
