"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6779","Validate the Single Row Data","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","4380","TC3 - UI data should match API","api-tests","2026-03-13","passed","2026-03-13","","UI\tests\api-tests\dashboardapi.spec.ts","",""
"","1475","Verify communicating meters","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","1613","TC2 - Table Validation","api-tests","2026-03-13","passed","2026-03-13","","UI\tests\api-tests\dashboardapi.spec.ts","",""
"","1538","Verify non communicating meters","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","3633","select the meters option","ui-tests","2026-03-13","failed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","7721","Validate the Next Button and Previous Button Whether the Pagination works or not in the Table Records","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","7832","dashboard validation","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","1309","TC7 - Validate the Monthly and Daily Consumption","api-tests","2026-03-13","passed","2026-03-13","","UI\tests\api-tests\dashboardapi.spec.ts","",""
"","47960","Collect all graph values @regression","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","1748","TC5 - Validate the Total Meter Events","api-tests","2026-03-13","passed","2026-03-13","","UI\tests\api-tests\dashboardapi.spec.ts","",""
"","7661","Validate dashboard card - Consumption & Billing","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","7012","table should contain all expected headers","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","6686","Validate Number of Columns in the table.","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","6294","table should have rows","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","4050","Verify total meter count","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","18594","Validate the Search Bar","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","8850","Validate dashboard consumer cards","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","8521","Validate dashboard card - Consumption & Billing Monthly","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","7727","validate the Total Records of the Tabale","ui-tests","2026-03-13","failed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","60759","Validate the Per Page Dropdown","ui-tests","2026-03-13","broken","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","8228","TC1 - Dashboard validation","api-tests","2026-03-13","passed","2026-03-13","","UI\tests\api-tests\dashboardapi.spec.ts","",""
"","1426","TC6 - Validate the Tariff","api-tests","2026-03-13","passed","2026-03-13","","UI\tests\api-tests\dashboardapi.spec.ts","",""
"","4229","Verify donut chart is visible","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","3339","TC4 - wigdet all of consumers","api-tests","2026-03-13","passed","2026-03-13","","UI\tests\api-tests\dashboardapi.spec.ts","",""
"","5272","Validate the Graphs","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
"","1956","Dashboard loads after auto login","ui-tests","2026-03-13","passed","2026-03-13","","UI\tests\ui-tests\dashboard.spec.ts","",""
